Moon,Mass (10^21 kg)
Sun,1989100000.0
Jupiter,1898187.0
Saturn,568317.0
Uranus,86813.0
Neptune,102413.0
Earth,5972.4
Venus,4867.5
Mars,641.71
GanymedeJupiter III,148.2
TitanSaturn VI,134.5
Mercury,330.11
CallistoJupiter IV,107.6
IoJupiter I,89.32
Moon (Luna)Earth I,73.46
EuropaJupiter II,48.0
TritonNeptune I,21.39
Pluto134340,13.03
Eris136199,16.6
Haumea136108,4.01
TitaniaUranus III,3.4
RheaSaturn V,2.307
OberonUranus IV,3.08
IapetusSaturn VIII,1.806
Makemake136472,3.1
Gonggong225088,1.75
CharonPluto I,1.586
UmbrielUranus II,1.28
ArielUranus I,1.25
DioneSaturn IV,1.095
Quaoar50000,1.4
TethysSaturn III,0.617
Ceres1,0.938
Orcus90482,0.61
Salacia120347,0.492
